year,model,displ,trans,cyl,manufacturer,cty,hwy,eng.dscr,T,G,S,twodoor.l,fourdoor.p,hatch.p
1984,DL/GL/TURBO WAGON,130,auto(4),4,VOLVO,20,27,"(FFS,TRBO)",TRUE,FALSE,FALSE,NA,89,NA
1984,DL/GL/TURBO WAGON,130,manual(m5),4,VOLVO,20,29,"(FFS,TRBO)",TRUE,FALSE,FALSE,NA,89,NA
1984,DL/GL/TURBO WAGON,141,auto(4),4,VOLVO,23,30,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,DL/GL/TURBO WAGON,141,auto(4),4,VOLVO,22,31,NA,FALSE,FALSE,FALSE,NA,89,NA
1984,DL/GL/TURBO WAGON,141,manual(m5),4,VOLVO,24,35,(FFS),FALSE,FALSE,FALSE,NA,89,NA
1984,DL/GL/TURBO WAGON,141,manual(m5),4,VOLVO,25,34,NA,FALSE,FALSE,FALSE,NA,89,NA
1984,ELECTRA ESTATE WAGON,307,auto(4),8,BUICK,16,27,(GM-OLDS) (FFS),FALSE,FALSE,FALSE,NA,110,NA
1984,CAPRICE WAGON,305,auto(4),8,CHEVROLET,17,26,(GM-CHEV) (FFS),FALSE,FALSE,FALSE,NA,110,NA
1984,LTD CROWN VICTORIA WAGON,302,auto(4),8,FORD MOTOR COMPANY,16,26,(FFS),FALSE,FALSE,FALSE,NA,112,NA
1984,GRAND MARQUIS WAGON,302,auto(4),8,LINCOLN-MERCURY,16,26,(FFS),FALSE,FALSE,FALSE,NA,112,NA
1984,CUSTOM CRUISER WAGON,307,auto(4),8,OLDSMOBILE,16,27,(GM-OLDS) (FFS),FALSE,FALSE,FALSE,NA,110,NA
1984,PARISIENNE WAGON,305,auto(4),8,PONTIAC,17,26,(GM-CHEV) (FFS),FALSE,FALSE,FALSE,NA,110,NA
1984,S10 PICKUP 2WD,119,auto(3),4,CHEVROLET,23,33,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,119,manual(m4),4,CHEVROLET,26,37,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,119,manual(m5),4,CHEVROLET,25,38,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,137,manual(m4),4,CHEVROLET,33,43,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,137,manual(m5),4,CHEVROLET,34,44,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,173,auto(4),6,CHEVROLET,21,33,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,173,manual(m4),6,CHEVROLET,20,30,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S10 PICKUP 2WD,173,manual(m5),6,CHEVROLET,20,32,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,PICKUP 2WD,146,auto(3),4,"NISSAN MOTOR COMPANY, LTD.",23,29,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,PICKUP 2WD,146,manual(m5),4,"NISSAN MOTOR COMPANY, LTD.",24,34,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,PICKUP 2WD,152,manual(m5),4,"NISSAN MOTOR COMPANY, LTD.",31,40,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,RAMPAGE PICKUP 2WD,135,auto(3),4,DODGE,24,33,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RAMPAGE PICKUP 2WD,135,manual(m5),4,DODGE,25,41,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RAM50 PICKUP 2WD,122,auto(3),4,DODGE,23,28,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RAM50 PICKUP 2WD,122,manual(m4),4,DODGE,25,31,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RAM50 PICKUP 2WD,122,manual(m5),4,DODGE,27,36,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RAM50 PICKUP 2WD,143,manual(m5),4,DODGE,31,38,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,NA,NA
1984,RAM50 PICKUP 2WD,156,auto(3),4,DODGE,22,26,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RAM50 PICKUP 2WD,156,manual(m5),4,DODGE,22,32,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 2WD,140,auto(3),4,FORD,22,28,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 2WD,140,manual(m4),4,FORD,24,33,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 2WD,140,manual(m5),4,FORD,24,34,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 2WD,171,auto(3),6,FORD,19,26,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 2WD,171,manual(m4),6,FORD,21,30,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 2WD,171,manual(m5),6,FORD,20,30,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,119,auto(3),4,GMC,23,33,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,119,manual(m4),4,GMC,26,37,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,119,manual(m5),4,GMC,25,38,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,137,manual(m4),4,GMC,33,43,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,137,manual(m5),4,GMC,34,44,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,173,auto(4),6,GMC,21,33,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,173,manual(m4),6,GMC,20,30,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,S15 PICKUP 2WD,173,manual(m5),6,GMC,20,32,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 2WD,119,auto(3),4,ISUZU,23,29,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 2WD,119,manual(m4),4,ISUZU,26,37,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 2WD,119,manual(m5),4,ISUZU,25,35,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 2WD,137,auto(3),4,ISUZU,30,34,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 2WD,137,manual(m5),4,ISUZU,35,43,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 2WD,122,auto(3),4,MITSUBISHI,23,28,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 2WD,122,manual(m4),4,MITSUBISHI,25,31,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 2WD,122,manual(m5),4,MITSUBISHI,27,36,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 2WD,143,manual(m5),4,MITSUBISHI,31,38,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 2WD,156,auto(3),4,MITSUBISHI,22,26,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 2WD,156,manual(m5),4,MITSUBISHI,22,32,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,B2000/B2200 PICKUP 2WD,120,auto(3),4,MAZDA,21,26,(CALIF),FALSE,FALSE,FALSE,NA,NA,NA
1984,B2000/B2200 PICKUP 2WD,120,manual(m5),4,MAZDA,26,36,(CALIF),FALSE,FALSE,FALSE,NA,NA,NA
1984,B2000/B2200 PICKUP 2WD,135,manual(m5),4,MAZDA,32,37,(CALIF) (DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,PICKUP 4WD,146,manual(m5),4,"NISSAN MOTOR COMPANY, LTD.",21,27,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,POWER RAM50 PICKUP 4WD,122,manual(m4),4,DODGE,22,28,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,POWER RAM50 PICKUP 4WD,143,manual(m5),4,DODGE,28,33,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,NA,NA
1984,POWER RAM50 PICKUP 4WD,156,auto(3),4,DODGE,20,24,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,POWER RAM50 PICKUP 4WD,156,manual(m5),4,DODGE,21,28,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 4WD,140,manual(m4),4,FORD,21,28,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 4WD,171,auto(3),6,FORD,16,21,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 4WD,171,manual(m4),6,FORD,19,26,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,RANGER PICKUP 4WD,171,manual(m5),6,FORD,19,27,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 4WD,119,manual(m4),4,ISUZU,23,28,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,P'UP P/U 4WD,137,manual(m4),4,ISUZU,31,34,(DIESEL),FALSE,FALSE,FALSE,NA,NA,NA
1984,SCRAMBLER PICKUP 4WD,150,manual(m4),4,JEEP,23,30,(FFS)(SIL),FALSE,FALSE,FALSE,NA,NA,NA
1984,SCRAMBLER PICKUP 4WD,150,manual(m4),4,JEEP,23,30,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,SCRAMBLER PICKUP 4WD,150,manual(m5),4,JEEP,24,32,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,SCRAMBLER PICKUP 4WD,258,auto(3),6,JEEP,19,27,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,SCRAMBLER PICKUP 4WD,258,manual(m4),6,JEEP,19,25,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,SCRAMBLER PICKUP 4WD,258,manual(m5),6,JEEP,20,26,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 4WD,122,manual(m4),4,MITSUBISHI,22,28,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 4WD,143,manual(m5),4,MITSUBISHI,28,33,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,NA,NA
1984,TRUCK 4WD,156,auto(3),4,MITSUBISHI,20,24,NA,FALSE,FALSE,FALSE,NA,NA,NA
